date,price
2006-01-01,
2006-02-01,
2006-03-01,28886.36
2006-04-01,
2006-05-01,22354.17
2006-06-01,17291.67
2006-07-01,
2006-08-01,
2006-09-01,17250.0
2006-10-01,17312.5
2006-11-01,13525.0
2006-12-01,12400.0
2007-01-01,
2007-02-01,12200.0
2007-03-01,11600.0
2007-04-01,
2007-05-01,10700.0
2007-06-01,
2007-07-01,12700.0
2007-08-01,15600.0
2007-09-01,17000.0
2007-10-01,15400.0
2007-11-01,19600.0
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,28300.0
2008-05-01,
2008-06-01,
2008-07-01,24250.0
2008-08-01,27000.0
2008-09-01,
2008-10-01,25442.0
2008-11-01,28545.0
2008-12-01,30000.0
2009-01-01,
2009-02-01,35000.0
2009-03-01,28000.0
2009-04-01,
2009-05-01,28500.0
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,28000.0
2009-10-01,32600.0
2009-11-01,
2009-12-01,37000.0
2010-01-01,
2010-02-01,35000.0
2010-03-01,
2010-04-01,37000.0
2010-05-01,
2010-06-01,
2010-07-01,24708.0
2010-08-01,
2010-09-01,
2010-10-01,28333.0
2010-11-01,29100.0
2010-12-01,30938.0
2011-01-01,40125.0
2011-02-01,32639.0
2011-03-01,37806.6
2011-04-01,36350.0
2011-05-01,36500.0
2011-06-01,33000.0
2011-07-01,37227.0
2011-08-01,37636.0
2011-09-01,37944.0
2011-10-01,
2011-11-01,
2011-12-01,40643.0
2012-01-01,40500.0
2012-02-01,
2012-03-01,
2012-04-01,39909.0
2012-05-01,
2012-06-01,
2012-07-01,45000.0
2012-08-01,46750.0
2012-09-01,51000.0
2012-10-01,52400.0
2012-11-01,
2012-12-01,65944.44
2013-01-01,73750.0
2013-02-01,70727.27
2013-03-01,
2013-04-01,73000.0
2013-05-01,53566.6
2013-06-01,
2013-07-01,44250.0
2013-08-01,48333.33
2013-09-01,
2013-10-01,46500.0
2013-11-01,
2013-12-01,45812.5
2014-01-01,44416.75
2014-02-01,44625.0
2014-03-01,47458.0
2014-04-01,
2014-05-01,39923.08
2014-06-01,
2014-07-01,40364.0
2014-08-01,34958.0
2014-09-01,36615.0
2014-10-01,
2014-11-01,39714.0
2014-12-01,33538.0
2015-01-01,32727.0
2015-02-01,
2015-03-01,32000.0
2015-04-01,
2015-05-01,
2015-06-01,44667.0
2015-07-01,42238.0
2015-08-01,46676.0
2015-09-01,49667.0
2015-10-01,
2015-11-01,57208.0
2015-12-01,61091.0
2016-01-01,63000.0
2016-02-01,67600.0
2016-03-01,
2016-04-01,
2016-05-01,53400.0
2016-06-01,
2016-07-01,48708.0
2016-08-01,49038.0
2016-09-01,49833.0
2016-10-01,53364.0
2016-11-01,
2016-12-01,62800.0
2017-01-01,79031.25
2017-02-01,
2017-03-01,
2017-04-01,
2017-05-01,82111.11
2017-06-01,75583.33
2017-07-01,72214.29
2017-08-01,66611.0
2017-09-01,64000.0
2017-10-01,
2017-11-01,50333.33
2017-12-01,53000.0
2018-01-01,
2018-02-01,
2018-03-01,
2018-04-01,35000.0
2018-05-01,
2018-06-01,35000.0
2018-07-01,35000.0
2018-08-01,
2018-09-01,
2018-10-01,34666.67
2018-11-01,35272.73
2018-12-01,36000.0
2019-01-01,
2019-02-01,39000.0
2019-03-01,
2019-04-01,
2019-05-01,
2019-06-01,45000.0
2019-07-01,49090.91
2019-08-01,62400.0
2019-09-01,64200.0
2019-10-01,66800.0
2019-11-01,
2019-12-01,
2020-01-01,83500.0
2020-02-01,90000.0
2020-03-01,
2020-04-01,70000.0
2020-05-01,78000.0
2020-06-01,46500.0
2020-07-01,
2020-08-01,48300.0
2020-09-01,47550.0
2020-10-01,52440.0
2020-11-01,60000.0
2020-12-01,46250.0
2021-01-01,
2021-02-01,
2021-03-01,
2021-04-01,
2021-05-01,60000.0
2021-06-01,
2021-07-01,37000.0
2021-08-01,36000.0
2021-09-01,
2021-10-01,
2021-11-01,
2021-12-01,
2022-01-01,
2022-02-01,
2022-03-01,
2022-04-01,
2022-05-01,63000.0
2022-06-01,72000.0
2022-07-01,
2022-08-01,78333.0
2022-09-01,85875.0
2022-10-01,90000.0
2022-11-01,90000.0
2022-12-01,102000.0
2023-01-01,
2023-02-01,120000.0
2023-03-01,
2023-04-01,
2023-05-01,
2023-06-01,
2023-07-01,
2023-08-01,75000.0
2023-09-01,
2023-10-01,77692.0
2023-11-01,80000.0
2023-12-01,80000.0
2024-01-01,80000.0
2024-02-01,
2024-03-01,51620.5
2024-04-01,60000.0
2024-05-01,50000.0
2024-06-01,48354.5
2024-07-01,45383.5
2024-08-01,43300.0
2024-09-01,51923.0
2024-10-01,53867.5
2024-11-01,60833.0
2024-12-01,61278.0
2025-01-01,63166.5
2025-02-01,76042.0
2025-03-01,76482.0
2025-04-01,75693.0
2025-05-01,72115.0
2025-06-01,64545.0
2025-07-01,84000.0
2025-08-01,58133.5
2025-09-01,53912.5
2025-10-01,50110.0
2025-11-01,57854.5
2025-12-01,60687.5
2026-01-01,67500.0
2026-02-01,70587.5
2026-03-01,67701.5
